word	opus_rank	hsk_level	pos	lccc_rank	is_foreign_name	is_foreign_score3	tier	dialog_priority
背后	1703	HSK3	名	2996	0	0	C_expansion	5
接到	1704	HSK2		4603	0	0	C_expansion	5
一部	1705			2150	0	0	C_expansion_extra_HSK	5
建立	1706	HSK3	动	8302	0	0	C_expansion	5
骗子	1707	HSK5	名	2211	0	0	C_expansion_extra_HSK	5
破	1708	HSK3	形、动	1379	0	0	C_expansion	5
上学	1709	HSK1		931	0	0	C_expansion	5
桌子	1710	HSK1	名	2363	0	0	C_expansion	5
小伙子	1711	HSK4	名	2508	0	0	C_expansion	5
感激	1712	HSK7-9	动	8683	0	0	C_expansion_extra_HSK	5
乐意	1713	HSK7-9	动、形	3860	0	0	C_expansion_extra_HSK	5
亲	1714	HSK3	形	207	0	0	C_expansion	5
方正	1715				0	1	C_expansion_extra_HSK	5
太久	1716			1916	0	0	C_expansion_extra_HSK	5
美女	1717	HSK4	名		0	0	C_expansion	5
实现	1718	HSK2	动	1920	0	0	C_expansion	5
说出	1719			2271	0	0	C_expansion_extra_HSK	5
印象	1720	HSK3	名	1539	0	0	C_expansion	5
空气	1721	HSK2	名	1816	0	0	C_expansion	5
关掉	1722	HSK7-9		9321	0	0	C_expansion_extra_HSK	5
不肯	1723	HSK7-9		4043	0	0	C_expansion_extra_HSK	5
生存	1724	HSK3	动	5763	0	0	C_expansion	5
一颗	1725			1752	0	0	C_expansion_extra_HSK	5
左右	1726	HSK3	名、动	841	0	0	C_expansion	5
场	1727	HSK2	量	2419	0	0	C_expansion	5
土地	1728	HSK4	名	12137	0	0	C_expansion	5
分享	1729	HSK5	动		0	0	C_expansion_extra_HSK	5
发出	1730	HSK3	动	2262	0	0	C_expansion	5
逃走	1731	HSK5	动	23552	0	0	C_expansion_extra_HSK	5
各种	1732	HSK3	代	506	0	0	C_expansion	5
打赌	1733			10651	0	0	C_expansion_extra_HSK	5
勇气	1734	HSK4	名	1823	0	0	C_expansion	5
毫无	1735	HSK7-9		3555	0	0	C_expansion_extra_HSK	5
歌	1736	HSK1	名	822	0	0	C_expansion	5
头上	1737			3630	0	0	C_expansion_extra_HSK	5
会议	1738	HSK3	名	10114	0	0	C_expansion	5
好消息	1739			2917	0	0	C_expansion_extra_HSK	5
惩罚	1740	HSK7-9	动、名	6080	0	0	C_expansion_extra_HSK	5
班	1741	HSK1	名、量	753	0	0	C_expansion	5
规则	1742	HSK4	名、形	6224	0	0	C_expansion	5
都行	1743			2337	0	0	C_expansion_extra_HSK	5
家族	1744	HSK7-9	名	6087	0	0	C_expansion_extra_HSK	5
角色	1745	HSK4	名	2387	0	0	C_expansion	5
精彩	1746	HSK3	形	2218	0	0	C_expansion	5
火	1747	HSK4	形	1483	0	0	C_expansion	5
一对	1748			3100	0	0	C_expansion_extra_HSK	5
强	1749	HSK3	形	1418	0	0	C_expansion	5
互相	1750	HSK3	副	1450	0	0	C_expansion	5
性感	1751				0	0	C_expansion_extra_HSK	5
女孩子	1752			1131	0	0	C_expansion_extra_HSK	5
承诺	1753	HSK6	动	7163	0	0	C_expansion_extra_HSK	5
小孩子	1754			1970	0	0	C_expansion_extra_HSK	5
惊讶	1755	HSK7-9	形	4768	0	0	C_expansion_extra_HSK	5
这太	1756			21950	0	0	C_expansion_extra_HSK	5
推	1757	HSK2	动	2434	0	0	C_expansion	5
汤姆	1758				1	0	X_excluded_foreign	5
茶	1759	HSK1	名	1430	0	0	C_expansion	5
