rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
299	留	24745	24745	760	93.4800	HSK2
300	却	24582	24582	134	93.5083	HSK4
301	者	24432	24432	2178	93.5364	HSK2
302	噢	24333	24333	3	93.5644	
303	蛋	24162	24094	570	93.5922	HSK1
304	搞	24153	24152	195	93.6200	HSK5
305	加	24149	24149	2684	93.6478	HSK2
306	求	24102	21254	717	93.6756	HSK2
307	公	24048	24033	1503	93.7033	HSK2
308	买	24045	24045	721	93.7310	HSK1
309	忙	23906	23904	272	93.7585	HSK1
310	睡	23857	23857	409	93.7860	HSK1
311	医	23716	23716	352	93.8133	HSK1
312	几	23712	23712	948	93.8406	HSK1
313	永	23627	23626	965	93.8678	HSK2
314	穿	23578	23578	532	93.8949	HSK1
315	力	23405	23405	1937	93.9219	HSK2
316	分	23335	23335	1897	93.9487	HSK1
317	清	23259	23251	970	93.9755	HSK2
318	麼	22446	22446	1697	94.0014	
319	服	22434	22432	804	94.0272	HSK1
320	根	22258	22258	1217	94.0528	HSK3
321	学	22124	22100	1835	94.0783	HSK1
322	原	22090	22090	827	94.1037	HSK2
323	长	22089	22078	1816	94.1292	HSK2
324	帝	21970	21970	846	94.1545	HSK6
325	难	21791	21791	847	94.1796	HSK1
326	站	21790	21790	567	94.2047	HSK1
327	停	21507	21501	474	94.2294	HSK2
328	拜	21483	20673	475	94.2542	HSK5
329	忘	21478	21478	246	94.2789	HSK1
330	抓	21297	21297	408	94.3034	HSK3
331	近	21231	21231	571	94.3279	HSK2
332	照	20944	20943	1012	94.3520	HSK2
333	疯	20874	20871	228	94.3760	HSK5
334	弟	20843	18375	335	94.4000	HSK1
335	亮	20730	20728	426	94.4239	HSK2
336	楚	20713	20704	279	94.4477	HSK2
337	懂	20535	20508	255	94.4714	HSK2
338	救	20466	19717	894	94.4949	HSK3
339	写	20238	20237	484	94.5182	HSK1
340	证	20232	20232	406	94.5415	HSK3
341	漂	20034	20032	113	94.5646	HSK2
342	察	19857	19857	554	94.5875	HSK3
343	处	19575	19565	798	94.6100	HSK2
344	束	19495	19495	251	94.6324	HSK3
345	兄	19042	19042	344	94.6544	HSK4
346	况	18871	18871	124	94.6761	HSK3
347	部	18769	18769	1614	94.6977	HSK2
348	使	18643	18643	547	94.7192	HSK2
349	三	18632	18631	3049	94.7406	HSK1
350	号	18621	18621	661	94.7621	HSK1
351	弄	18472	18471	525	94.7833	HSK2
352	怪	18388	18254	626	94.8045	HSK3
353	個	18379	18378	2689	94.8257	
