rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
7489	絜	0	0	1	100.0000	
7490	黼	0	0	1	100.0000	
7491	菡	0	0	2	100.0000	
7492	倨	0	0	1	100.0000	
7493	抩	0	0	1	100.0000	
7494	靽	0	0	1	100.0000	
7495	蛷	0	0	1	100.0000	
7496	䌹	0	0	1	100.0000	
7497	钶	0	0	1	100.0000	
7498	馔	0	0	3	100.0000	
7499	毬	0	0	1	100.0000	
7500	篵	0	0	1	100.0000	
7501	箪	0	0	1	100.0000	
7502	総	0	0	1	100.0000	
7503	躱	0	0	1	100.0000	
7504	蒽	0	0	1	100.0000	
7505	镦	0	0	1	100.0000	
7506	柢	0	0	1	100.0000	
7507	昤	0	0	1	100.0000	
7508	罜	0	0	1	100.0000	
7509	鹄	0	0	3	100.0000	
7510	悫	0	0	1	100.0000	
7511	筊	0	0	1	100.0000	
7512	铨	0	0	3	100.0000	
7513	鲎	0	0	1	100.0000	
7514	囓	0	0	2	100.0000	
7515	丷	0	0	1	100.0000	
7516	筭	0	0	1	100.0000	
7517	臶	0	0	1	100.0000	
7518	茻	0	0	1	100.0000	
7519	苙	0	0	1	100.0000	
7520	呋	0	0	1	100.0000	
7521	咗	0	0	1	100.0000	
7522	対	0	0	1	100.0000	
7523	戬	0	0	6	100.0000	
7524	妣	0	0	2	100.0000	
7525	刭	0	0	2	100.0000	
7526	璠	0	0	2	100.0000	
7527	売	0	0	1	100.0000	
7528	荲	0	0	1	100.0000	
7529	鲵	0	0	1	100.0000	
7530	悰	0	0	1	100.0000	
7531	钪	0	0	1	100.0000	
7532	鈓	0	0	1	100.0000	
7533	陟	0	0	3	100.0000	
7534	潞	0	0	3	100.0000	
7535	囲	0	0	1	100.0000	
7536	訇	0	0	3	100.0000	
7537	挬	0	0	1	100.0000	
7538	枋	0	0	1	100.0000	
7539	婫	0	0	1	100.0000	
7540	酞	0	0	2	100.0000	
7541	狛	0	0	1	100.0000	
7542	嫑	0	0	1	100.0000	
7543	炨	0	0	1	100.0000	
7544	鑙	0	0	1	100.0000	
7545	舸	0	0	1	100.0000	
7546	苠	0	0	1	100.0000	
7547	餠	0	0	1	100.0000	
7548	鬪	0	0	1	100.0000	
7549	栭	0	0	1	100.0000	
7550	穰	0	0	1	100.0000	
7551	砢	0	0	1	100.0000	
7552	舾	0	0	1	100.0000	
7553	繤	0	0	1	100.0000	
7554	丄	0	0	1	100.0000	
7555	琬	0	0	5	100.0000	
7556	鈘	0	0	1	100.0000	
7557	蝝	0	0	1	100.0000	
7558	蕤	0	0	1	100.0000	
7559	簩	0	0	1	100.0000	
7560	菝	0	0	1	100.0000	
7561	葜	0	0	1	100.0000	
7562	苎	0	0	2	100.0000	
7563	墉	0	0	2	100.0000	
7564	焐	0	0	1	100.0000	
7565	搦	0	0	1	100.0000	
7566	髷	0	0	1	100.0000	
7567	袢	0	0	2	100.0000	
7568	衎	0	0	1	100.0000	
7569	倣	0	0	1	100.0000	
7570	秚	0	0	1	100.0000	
7571	耟	0	0	1	100.0000	
7572	谇	0	0	1	100.0000	
7573	曌	0	0	2	100.0000	
7574	砹	0	0	1	100.0000	
7575	鲆	0	0	1	100.0000	
7576	咈	0	0	1	100.0000	
7577	眓	0	0	1	100.0000	
7578	硖	0	0	2	100.0000	
7579	羢	0	0	1	100.0000	
7580	舚	0	0	1	100.0000	
7581	読	0	0	1	100.0000	
7582	涑	0	0	1	100.0000	
7583	璭	0	0	1	100.0000	
7584	淢	0	0	1	100.0000	
7585	婺	0	0	2	100.0000	
7586	煅	0	0	1	100.0000	
7587	喑	0	0	1	100.0000	
7588	荸	0	0	3	100.0000	
7589	旃	0	0	1	100.0000	
7590	艄	0	0	2	100.0000	
7591	缋	0	0	1	100.0000	
7592	搆	0	0	1	100.0000	
7593	韫	0	0	1	100.0000	
7594	栔	0	0	1	100.0000	
7595	睯	0	0	1	100.0000	
7596	紻	0	0	1	100.0000	
7597	玤	0	0	1	100.0000	
7598	朿	0	0	1	100.0000	
7599	椟	0	0	1	100.0000	
7600	挈	0	0	2	100.0000	
7601	湉	0	0	1	100.0000	
7602	靭	0	0	1	100.0000	
7603	恊	0	0	1	100.0000	
7604	挒	0	0	1	100.0000	
7605	嫰	0	0	1	100.0000	
7606	泓	0	0	3	100.0000	
7607	琰	0	0	2	100.0000	
7608	糘	0	0	1	100.0000	
7609	謜	0	0	1	100.0000	
7610	柶	0	0	1	100.0000	
7611	篆	0	0	3	100.0000	
7612	罧	0	0	1	100.0000	
7613	櫌	0	0	1	100.0000	
7614	畬	0	0	1	100.0000	
7615	蓊	0	0	1	100.0000	
7616	赍	0	0	1	100.0000	
7617	萢	0	0	1	100.0000	
7618	酔	0	0	1	100.0000	
7619	琯	0	0	1	100.0000	
7620	煺	0	0	1	100.0000	
7621	旼	0	0	1	100.0000	
7622	扷	0	0	1	100.0000	
7623	艭	0	0	1	100.0000	
7624	螥	0	0	1	100.0000	
7625	騩	0	0	1	100.0000	
7626	玎	0	0	2	100.0000	
7627	跣	0	0	1	100.0000	
7628	嵩	0	0	7	100.0000	
7629	悱	0	0	1	100.0000	
7630	艏	0	0	1	100.0000	
7631	懃	0	0	1	100.0000	
7632	迋	0	0	1	100.0000	
7633	宍	0	0	1	100.0000	
7634	颣	0	0	1	100.0000	
7635	柃	0	0	1	100.0000	
7636	榥	0	0	1	100.0000	
7637	亍	0	0	1	100.0000	
7638	蚅	0	0	1	100.0000	
7639	雊	0	0	1	100.0000	
7640	鳜	0	0	1	100.0000	
7641	鳒	0	0	1	100.0000	
7642	矸	0	0	1	100.0000	
7643	訬	0	0	1	100.0000	
7644	穋	0	0	1	100.0000	
7645	歛	0	0	2	100.0000	
7646	酹	0	0	1	100.0000	
7647	坅	0	0	1	100.0000	
7648	柙	0	0	1	100.0000	
7649	臵	0	0	1	100.0000	
7650	瓾	0	0	1	100.0000	
7651	昽	0	0	1	100.0000	
7652	硪	0	0	1	100.0000	
7653	瑯	0	0	6	100.0000	
7654	仳	0	0	1	100.0000	
7655	逥	0	0	1	100.0000	
7656	聁	0	0	1	100.0000	
7657	钷	0	0	1	100.0000	
7658	楸	0	0	4	100.0000	
7659	疧	0	0	1	100.0000	
7660	丬	0	0	1	100.0000	
7661	鉵	0	0	1	100.0000	
7662	媂	0	0	1	100.0000	
7663	縆	0	0	1	100.0000	
7664	奾	0	0	1	100.0000	
7665	腧	0	0	1	100.0000	
7666	暳	0	0	1	100.0000	
7667	冴	0	0	4	100.0000	
7668	蕯	0	0	1	100.0000	
7669	铄	0	0	3	100.0000	
7670	叡	0	0	1	100.0000	
7671	禊	0	0	1	100.0000	
7672	掾	0	0	1	100.0000	
7673	芤	0	0	1	100.0000	
7674	魆	0	0	1	100.0000	
7675	颏	0	0	3	100.0000	
7676	馜	0	0	1	100.0000	
7677	煘	0	0	1	100.0000	
7678	価	0	0	1	100.0000	
7679	殛	0	0	1	100.0000	
7680	姛	0	0	1	100.0000	
7681	碛	0	0	1	100.0000	
7682	苁	0	0	2	100.0000	
7683	陜	0	0	1	100.0000	
7684	甼	0	0	1	100.0000	
7685	磓	0	0	1	100.0000	
7686	嚄	0	0	1	100.0000	
7687	翤	0	0	1	100.0000	
7688	眫	0	0	1	100.0000	
7689	訄	0	0	1	100.0000	
7690	苋	0	0	3	100.0000	
7691	瘅	0	0	1	100.0000	
7692	篺	0	0	1	100.0000	
7693	睟	0	0	1	100.0000	
7694	禳	0	0	1	100.0000	
7695	敆	0	0	1	100.0000	
7696	煫	0	0	1	100.0000	
7697	呫	0	0	1	100.0000	
7698	璤	0	0	1	100.0000	
7699	蛈	0	0	1	100.0000	
7700	弾	0	0	1	100.0000	
7701	畳	0	0	1	100.0000	
7702	択	0	0	1	100.0000	
7703	葇	0	0	1	100.0000	
7704	钎	0	0	2	100.0000	
7705	摽	0	0	1	100.0000	
7706	籨	0	0	1	100.0000	
7707	侉	0	0	1	100.0000	
7708	挸	0	0	1	100.0000	
7709	洇	0	0	2	100.0000	
7710	夎	0	0	1	100.0000	
7711	铕	0	0	1	100.0000	
7712	瓤	0	0	2	100.0000	
7713	閠	0	0	1	100.0000	
7714	怞	0	0	1	100.0000	
7715	硍	0	0	1	100.0000	
7716	唲	0	0	1	100.0000	
7717	戽	0	0	1	100.0000	
7718	勐	0	0	4	100.0000	
7719	勰	0	0	1	100.0000	
7720	茏	0	0	2	100.0000	
7721	雒	0	0	1	100.0000	
7722	藋	0	0	1	100.0000	
7723	趄	0	0	1	100.0000	
7724	潽	0	0	1	100.0000	
7725	昀	0	0	1	100.0000	
7726	佤	0	0	1	100.0000	
7727	闳	0	0	2	100.0000	
7728	轳	0	0	1	100.0000	
7729	験	0	0	1	100.0000	
7730	緃	0	0	1	100.0000	
7731	淈	0	0	1	100.0000	
7732	磄	0	0	1	100.0000	
7733	馘	0	0	1	100.0000	
7734	僗	0	0	1	100.0000	
7735	喯	0	0	1	100.0000	
