rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
426	倒	12640	12640	587	96.3655	HSK2
427	乎	12555	12552	189	96.3793	HSK4
428	讨	12483	12483	196	96.3930	HSK2
429	择	12455	12455	91	96.4067	HSK4
430	司	12430	12430	673	96.4204	HSK2
431	危	12280	12280	139	96.4339	HSK3
432	易	11976	11976	478	96.4470	HSK3
433	各	11857	11784	388	96.4600	HSK3
434	终	11839	11839	258	96.4731	HSK3
435	功	11768	11768	388	96.4860	HSK3
436	趣	11743	11743	124	96.4989	HSK4
437	跳	11726	11721	369	96.5118	HSK3
438	报	11708	11708	755	96.5247	HSK2
439	内	11702	11702	1426	96.5375	HSK3
440	靠	11633	11633	277	96.5503	HSK2
441	幸	11631	11630	201	96.5631	HSK3
442	随	11600	11588	303	96.5758	HSK2
443	昨	11549	11549	35	96.5885	HSK1
444	轻	11517	11402	862	96.6012	HSK2
445	运	11513	11513	672	96.6138	HSK2
446	影	11400	11400	558	96.6264	HSK1
447	片	11397	11397	718	96.6389	HSK2
448	反	11328	11328	635	96.6513	HSK3
449	参	11292	11292	312	96.6637	HSK2
450	交	11263	11263	960	96.6761	HSK2
451	条	11202	11202	888	96.6884	HSK1
452	紧	11172	11081	446	96.7007	HSK3
453	提	11170	11170	1365	96.7130	HSK2
454	克	11163	11106	4042	96.7253	HSK2
455	合	11125	11123	970	96.7375	HSK2
456	教	10962	10936	1055	96.7495	HSK1
457	岁	10936	10936	289	96.7615	HSK1
458	容	10887	10887	377	96.7735	HSK3
459	顾	10854	10854	241	96.7854	HSK2
460	利	10799	10799	2796	96.7973	HSK2
461	校	10771	10771	367	96.8091	HSK1
462	冷	10752	10752	443	96.8210	HSK1
463	制	10629	10629	823	96.8326	HSK3
464	睛	10585	10585	46	96.8443	HSK2
465	神	10541	10540	1524	96.8559	HSK3
466	师	10494	10494	684	96.8674	HSK1
467	敢	10322	10312	197	96.8787	HSK3
468	厌	10296	10296	93	96.8901	HSK5
469	战	10117	10117	943	96.9012	HSK4
470	喔	10082	10082	2	96.9123	
471	拉	10023	10003	3579	96.9233	HSK2
472	份	10022	10022	375	96.9343	HSK2
473	坏	10016	10016	559	96.9453	HSK1
474	令	9953	9953	724	96.9562	HSK5
475	钟	9946	9946	485	96.9672	HSK2
476	哇	9754	9751	101	96.9779	HSK6
477	猜	9661	9349	175	96.9885	HSK5
478	狗	9631	9503	766	96.9991	HSK2
479	赢	9613	9613	218	97.0096	HSK3
480	挺	9440	9440	348	97.0200	HSK2
481	派	9435	9435	765	97.0304	HSK3
482	未	9429	9429	695	97.0408	HSK4
483	飞	9342	9340	1017	97.0510	HSK1
484	式	9336	9336	712	97.0613	HSK3
485	鬼	9326	9315	659	97.0715	HSK5
486	责	9290	9290	186	97.0817	HSK3
487	差	9276	9276	510	97.0919	HSK1
488	糟	9273	9270	125	97.1021	HSK5
489	替	9178	9178	449	97.1122	HSK4
490	论	9177	9177	391	97.1223	HSK2
491	期	8995	8995	563	97.1322	HSK1
492	类	8989	8989	313	97.1421	HSK3
493	花	8822	8779	1871	97.1518	HSK1
494	尽	8772	8770	540	97.1614	HSK3
495	代	8702	8700	901	97.1710	HSK3
496	释	8620	8620	125	97.1804	HSK4
497	休	8599	8599	348	97.1899	HSK1
498	则	8551	8551	288	97.1993	HSK4
499	脸	8540	8540	513	97.2087	HSK2
500	客	8535	8535	517	97.2181	HSK1
501	慢	8418	4909	324	97.2273	HSK1
502	突	8412	8412	160	97.2365	HSK3
503	指	8278	8277	781	97.2456	HSK3
504	二	8263	8261	1834	97.2547	HSK1
505	存	8210	8210	412	97.2638	HSK3
506	弃	8173	8173	208	97.2727	HSK5
507	卖	8136	8136	653	97.2817	HSK2
508	越	8077	5395	648	97.2906	HSK2
509	礼	8025	8025	425	97.2994	HSK2
510	务	8022	8022	457	97.3082	HSK2
511	妻	7962	7962	214	97.3169	HSK4
