hskk_tier	word	hsk_level
HSKK 初级	女生	HSK1
HSKK 初级	奶	HSK1
HSKK 初级	她	HSK1
HSKK 初级	她们	HSK1
HSKK 初级	好久	HSK2
HSKK 初级	好事	HSK2
HSKK 初级	好人	HSK2
HSKK 初级	好像	HSK2
HSKK 初级	好听	HSK1
HSKK 初级	好处	HSK2
HSKK 初级	好多	HSK2
HSKK 初级	好玩儿	HSK1
HSKK 初级	如果	HSK2
HSKK 初级	妈妈	HSK1
HSKK 初级	妹	HSK1
HSKK 初级	姐	HSK1
HSKK 初级	姐姐	HSK1
HSKK 初级	姓	HSK2
HSKK 初级	姓名	HSK2
HSKK 初级	子（桌子）	HSK1
HSKK 初级	字	HSK1
HSKK 初级	字典	HSK2
HSKK 初级	学习	HSK1
HSKK 初级	学期	HSK2
HSKK 初级	学校	HSK1
HSKK 初级	学生	HSK1
HSKK 初级	学院	HSK1
HSKK 初级	它	HSK2
HSKK 初级	它们	HSK2
HSKK 初级	安全	HSK2
HSKK 初级	安静	HSK2
HSKK 初级	完	HSK2
HSKK 初级	完全	HSK2
HSKK 初级	完成	HSK2
HSKK 初级	实习	HSK2
HSKK 初级	实在	HSK2
HSKK 初级	实现	HSK2
HSKK 初级	实际	HSK2
HSKK 初级	客人	HSK2
HSKK 初级	家人	HSK1
HSKK 初级	家庭	HSK2
HSKK 初级	家里	HSK1
HSKK 初级	家长	HSK2
HSKK 初级	家（科学家）	HSK2
HSKK 初级	对	HSK1
HSKK 初级	对话	HSK2
HSKK 初级	对面	HSK2
HSKK 初级	封	HSK2
HSKK 初级	小	HSK1
HSKK 初级	小声	HSK2
HSKK 初级	小姐	HSK1
HSKK 初级	小学	HSK1
HSKK 初级	小学生	HSK1
HSKK 初级	小孩儿	HSK1
HSKK 初级	小心	HSK2
HSKK 初级	小时候	HSK2
HSKK 初级	小朋友	HSK1
HSKK 初级	小组	HSK2
HSKK 初级	小说	HSK2
HSKK 初级	小（小王）	HSK2
HSKK 初级	少	HSK1
HSKK 初级	少年	HSK2
HSKK 初级	少数	HSK2
HSKK 初级	就要	HSK2
HSKK 初级	层	HSK2
HSKK 初级	山	HSK1
HSKK 初级	岁	HSK1
HSKK 初级	工人	HSK1
HSKK 初级	左	HSK1
HSKK 初级	左边	HSK1
HSKK 初级	差不多	HSK2
HSKK 初级	市	HSK2
HSKK 初级	市长	HSK2
HSKK 初级	带	HSK2
HSKK 初级	带来	HSK2
HSKK 初级	帮	HSK1
HSKK 初级	帮助	HSK2
HSKK 初级	帮忙	HSK1
HSKK 初级	常	HSK1
HSKK 初级	常常	HSK1
HSKK 初级	常用	HSK2
HSKK 初级	常见	HSK2
HSKK 初级	干	HSK1
HSKK 初级	干什么	HSK1
HSKK 初级	干净	HSK1
HSKK 初级	干杯	HSK2
HSKK 初级	干活儿	HSK2
HSKK 初级	平	HSK2
HSKK 初级	平安	HSK2
HSKK 初级	平常	HSK2
HSKK 初级	平时	HSK2
HSKK 初级	平等	HSK2
HSKK 初级	年	HSK1
HSKK 初级	年级	HSK2
HSKK 初级	年轻	HSK2
HSKK 初级	广告	HSK2
HSKK 初级	广场	HSK2
HSKK 初级	床	HSK1
HSKK 初级	应该	HSK2
HSKK 初级	店	HSK2
HSKK 初级	度	HSK2
